"DefaultValue","CustomValue"
"Shows a summary of a number of Purchase Orders.","Shows a summary of a number of Purchase Orders."
"Shows a summary of financial information for a number of sales orders.","Shows a summary of financial information for a number of sales orders."
"Shows a summary of the outstanding items that a customer has ordered.","Shows a summary of the outstanding items that a customer has ordered."
"Shows the amount of stock that has moved in and out of each location over time.","Shows the amount of stock that has moved in and out of each location over time."
"Shows the inventory count and amount as of a particular date, e.g. the start of your fiscal year.","Shows the inventory count and amount as of a particular date, e.g. the start of your fiscal year."
"Shows the Purchase Orders from vendors for different products.","Shows the Purchase Orders from vendors for different products."
"Shows the total amount of each product in a location (adding up over sublocations)","Shows the total amount of each product in a location (adding up over sublocations)"
"Shows the total amount of Sales Tax that you have collected from customers.","Shows the total amount of Sales Tax that you have collected from customers."
"Shows the total amount of Sales Tax that you have paid to vendors.","Shows the total amount of Sales Tax that you have paid to vendors."
"Shows total quantities of stock available along with reordering information.","Shows total quantities of stock available along with reordering information."
"Shows you all the customers that have ordered a product.","Shows you all the customers that have ordered a product."
"Shows you how much inventory has gone missing according to your count sheets, e.g. due to loss, damage, or theft.","Shows you how much inventory has gone missing according to your count sheets, e.g. due to loss, damage, or theft."
"Shows you the costs at which you purchased products and average cost","Shows you the costs at which you purchased products and average cost"
"Shows you the items you've purchased from vendors.","Shows you the items you've purchased from vendors."
"Shows you the Sales Orders that each sales representative was responsible for","Shows you the Sales Orders that each sales representative was responsible for"
"Shrink Picture Size","Shrink Picture Size"
"Simple","Simple"
"Simplest way to start!","Simplest way to start!"
"Since you only have one active user, there's no need to change users.\nYou can add new users through Company Settings.","Since you only have one active user, there's no need to change users.\nYou can add new users through Company Settings."
"Single-User Mode","Single-User Mode"
"Snapshot failed.  Please try again.","Snapshot failed.  Please try again."
"Snapshot is currently disabled","Snapshot is currently disabled"
"Software Activation - Activation Method","Software Activation - Activation Method"
"Software Activation - Choose a License Key","Software Activation - Choose a License Key"
"Software Activation - Finished!","Software Activation - Finished!"
"Software Activation - Merge Accounts","Software Activation - Merge Accounts"
"Software Activation - Request Repeat Trial","Software Activation - Request Repeat Trial"
"Software Activation - Start","Software Activation - Start"
"Software Activation Success!","Software Activation Success!"
"Software Purchase","Software Purchase"
"Software Trial - Request Trial Key","Software Trial - Request Trial Key"
"Software Trial - Switch Edition","Software Trial - Switch Edition"
"Software Version:","Software Version:"
"Sold Quantity","Sold Quantity"
"Some businesses just have a name or code for their product.  Others will have a detailed description that goes along with their product's name or code.","Some businesses just have a name or code for their product.  Others will have a detailed description that goes along with their product's name or code."
"Some extra preferences about how this customer usually does business.","Some extra preferences about how this customer usually does business."
"Some information about the way you charge this customer and other payment arrangements.","Some information about the way you charge this customer and other payment arrangements."
"Some items could not be identified","Some items could not be identified"
"Some parts of inFlow need to be updated and may not yet work properly.  To fix this issue automatically, please run inFlow from the server computer or contact the person in charge of inFlow at your organization.","Some parts of inFlow need to be updated and may not yet work properly.  To fix this issue automatically, please run inFlow from the server computer or contact the person in charge of inFlow at your organization."
"Some returned products can be restocked back to your inventory storage so that they can be sold again later.","Some returned products can be restocked back to your inventory storage so that they can be sold again later."
"Some vendors may require you to send back returned products to them.  These products need to be unstocked from the storage.","Some vendors may require you to send back returned products to them.  These products need to be unstocked from the storage."
"Somebody else has already moved some of the products you are moving.  Please try again.","Somebody else has already moved some of the products you are moving.  Please try again."
"Someone else has moved the products in the meantime.  Please try again.","Someone else has moved the products in the meantime.  Please try again."
"Sorry, but a category with the same name already exists.","Sorry, but a category with the same name already exists."
"Sorry, this feature is not available in Free Edition.\nDo you want to upgrade to inFlow Inventory now?","Sorry, this feature is not available in Free Edition.\nDo you want to upgrade to inFlow Inventory now?"
"Sorry, you need to be a system administrator to perform this action.","Sorry, you need to be a system administrator to perform this action."
"Sorry, your system administrator needs to grant you the security access rights for this action.","Sorry, your system administrator needs to grant you the security access rights for this action."
"Sorry, your trial request has been rejected","Sorry, your trial request has been rejected"
"Source Directory","Source Directory"
"South Korea","South Korea"
"Spain","Spain"
"Spanish","Spanish"
"Split Order by &Inventory Available","Split Order by &Inventory Available"
"Split Order by &Inventory on Hand","Split Order by &Inventory on Hand"
"Split Order by Pic&ked","Split Order by Pic&ked"
"SQL Server Browser service successfully set to automatic.","SQL Server Browser service successfully set to automatic."
"SQL Server Browser service successfully started.","SQL Server Browser service successfully started."
"SQL Server browser service was not installed properly","SQL Server browser service was not installed properly"
"SQL Server database service was installed properly, but we couldn't connect to it","SQL Server database service was installed properly, but we couldn't connect to it"
"SQL Server database service was not installed properly","SQL Server database service was not installed properly"
"SQL Server service successfully restarted.","SQL Server service successfully restarted."
"SQL Server service successfully stopped.","SQL Server service successfully stopped."
"Standard","Standard"
"Standard Edition","Standard Edition"
"Standard Qty","Standard Qty"
"Standard UoM","Standard UoM"
"Start <a action=""400"" tab=""102"">entering your products</a> or <a action=""103"" tab=""102"">import them</a>","Start <a action=""400"" tab=""102"">entering your products</a> or <a action=""103"" tab=""102"">import them</a>"
"Start Date","Start Date"
"Start date can't be after end date","Start date can't be after end date"
"Start date is not specified properly in activation key","Start date is not specified properly in activation key"
"Start date is not specified properly in trial key","Start date is not specified properly in trial key"
"Start entering your product list and quantities.  You can also set up prices and barcodes here.","Start entering your product list and quantities.  You can also set up prices and barcodes here."
"Start typing in what products you have and how many of each.","Start typing in what products you have and how many of each."
"Start using inFlow to help with your daily tasks, like:","Start using inFlow to help with your daily tasks, like:"
"Started Date","Started Date"
"Starting ...","Starting ..."
"Starting loaded assembly dump","Starting loaded assembly dump"
"Starting SQL Server Browser service","Starting SQL Server Browser service"
"Starting SQL Server Browser service...","Starting SQL Server Browser service..."
"Starting SQL Server database service","Starting SQL Server database service"
"Startup Questionnaire - Company Info","Startup Questionnaire - Company Info"
